,fitness,weeks,density,RMSE_drive_A,RMSE_drive_B,RMSE_female_A,RMSE_female_B,combined_weight
400,0.9,8,7,0.637352714632374,0.637044621825696,215.985909060951,215.363355807585,4.78775454422433
401,0.9,8,7.5,0.617990134949594,0.617659390740878,222.64490737999,222.733790446264,4.79035470241711
402,0.9,8,8,0.61997665205788,0.619756293672062,235.881031936114,235.658879137602,4.94085989284701
403,0.9,8,8.5,0.61481364341114,0.614621372606418,242.652778492293,246.326961079077,5.01673254613917
404,0.9,8,9,0.608591636122469,0.608688508720629,248.175425158564,253.493788839825,5.06291349045887
405,0.9,8,9.5,0.609586794189458,0.609516973129067,252.735330957179,256.848448864408,5.10945801532408
406,0.9,8,10,0.588366906259162,0.588415849159976,268.556096478828,273.218647397791,5.20430610189622
407,0.95,4,6,0.715674118054421,0.71434251896052,209.975322470153,196.542838167964,4.94825332120477
408,0.95,4,6.5,0.704004359814764,0.703399135181899,226.347644894937,215.036138983071,5.09549822535234
409,0.95,4,7,0.693615307697346,0.692852846722944,240.974058567066,228.635883632746,5.2094069878307
410,0.95,4,7.5,0.685192479612674,0.684191706562692,248.930942073299,235.479759745824,5.25741467000304
411,0.95,4,8,0.683637559439972,0.683003696672739,261.006809242617,251.864675026729,5.40789090564274
412,0.95,4,8.5,0.68925352773489,0.688366769588683,264.416008204705,254.633056422684,5.46250390962759
413,0.95,4,9,0.679025178348216,0.678206254979425,267.366415614285,257.999356920813,5.45806286459308
414,0.95,4,9.5,0.671838773360528,0.671062250291075,279.821367386607,272.551816193365,5.57825283146138
415,0.95,4,10,0.656658046103264,0.656187870434805,288.717080927789,282.726572916962,5.62501880028357
416,0.95,4.5,6,0.707536848966817,0.70648312089106,215.806869066643,199.505584939171,4.96538979821337
417,0.95,4.5,6.5,0.70251386493086,0.701450111915348,218.029555553361,205.233991294883,4.98991454245034
418,0.95,4.5,7,0.693531347587914,0.692451586791051,230.386375718285,221.728943619198,5.11339907517384
